filename,width,height,class,xmin,ymin,xmax,ymax
batch_1/000006.jpg,1537,2049,Bottle,517.0, 127.0,964.0,1449.0
batch_1/000008.jpg,1537,2049,Carton,1.0, 457.0,1430.0,1976.0
batch_1/000008.jpg,1537,2049,Carton,531.0, 292.0,1537.0,964.0
batch_1/000010.jpg,1537,2049,Bottle,632.0, 987.0,1132.0,1361.0
batch_1/000010.jpg,1537,2049,Bottle cap,632.0, 989.0,676.0,1040.0
batch_1/000019.jpg,2049,1537,Bottle,209.0, 920.0,663.0,1482.0
batch_1/000019.jpg,2049,1537,Bottle,1212.0, 822.0,1391.0,1268.0
batch_1/000019.jpg,2049,1537,Bottle cap,634.0, 1442.0,663.0,1481.0
batch_1/000019.jpg,2049,1537,Can,589.0, 548.0,930.0,953.0
batch_1/000026.jpg,1537,2049,Can,556.0, 944.0,1046.0,1280.0
batch_1/000047.jpg,2049,1537,Can,1205.0, 47.0,1828.0,768.0
batch_1/000047.jpg,2049,1537,Can,309.0, 11.0,890.0,831.0
batch_1/000047.jpg,2049,1537,Bottle,189.0, 751.0,1806.0,1340.0
batch_1/000047.jpg,2049,1537,Bottle cap,189.0, 903.0,394.0,1129.0
batch_1/000047.jpg,2049,1537,Pop tab,569.0, 137.0,796.0,245.0
batch_1/000047.jpg,2049,1537,Pop tab,1540.0, 171.0,1786.0,282.0
batch_1/000055.jpg,1537,2049,Can,515.0, 439.0,872.0,1564.0
batch_1/000001.jpg,2049,1537,Bottle,826.0, 744.0,1290.0,949.0
batch_1/000001.jpg,2049,1537,Bottle cap,1254.0, 777.0,1290.0,824.0
batch_1/000005.jpg,1537,2049,Bottle,824.0, 557.0,913.0,793.0
batch_1/000007.jpg,1537,2049,Can,730.0, 126.0,1005.0,735.0
batch_1/000007.jpg,1537,2049,Cup,804.0, 0.0,1026.0,160.0
batch_1/000007.jpg,1537,2049,Pop tab,781.0, 125.0,866.0,182.0
batch_1/000012.jpg,1537,2049,Bottle,379.0, 1127.0,804.0,1445.0
batch_1/000012.jpg,1537,2049,Plastic bag & wrapper,904.0, 1083.0,941.0,1109.0
batch_1/000014.jpg,1537,2049,Styrofoam piece,1072.0, 983.0,1196.0,1130.0
batch_1/000014.jpg,1537,2049,Styrofoam piece,914.0, 1308.0,1157.0,1495.0
batch_1/000014.jpg,1537,2049,Can,672.0, 1069.0,891.0,1230.0
batch_1/000014.jpg,1537,2049,Plastic bag & wrapper,401.0, 1033.0,674.0,1306.0
batch_1/000014.jpg,1537,2049,Carton,836.0, 1010.0,1175.0,1217.0
batch_1/000014.jpg,1537,2049,Other plastic,775.0, 910.0,934.0,1009.0
batch_1/000048.jpg,2049,1537,Bottle,1527.0, 460.0,1942.0,1493.0
batch_1/000048.jpg,2049,1537,Bottle,579.0, 521.0,901.0,1442.0
batch_1/000048.jpg,2049,1537,Bottle,211.0, 1.0,628.0,1418.0
batch_1/000048.jpg,2049,1537,Carton,1208.0, 611.0,1577.0,1493.0
batch_1/000048.jpg,2049,1537,Carton,863.0, 608.0,1216.0,1468.0
batch_1/000048.jpg,2049,1537,Bottle cap,1677.0, 460.0,1888.0,558.0
batch_1/000048.jpg,2049,1537,Bottle cap,1325.0, 663.0,1480.0,778.0
batch_1/000048.jpg,2049,1537,Bottle cap,969.0, 636.0,1115.0,760.0
batch_1/000048.jpg,2049,1537,Bottle cap,610.0, 521.0,795.0,618.0
batch_1/000048.jpg,2049,1537,Bottle cap,212.0, 1.0,381.0,104.0
batch_1/000053.jpg,1537,2049,Bottle,398.0, 410.0,1532.0,1408.0
batch_1/000053.jpg,1537,2049,Bottle cap,1336.0, 410.0,1532.0,620.0
batch_1/000053.jpg,1537,2049,Plastic bag & wrapper,0.0, 1.0,338.0,665.0
batch_1/000053.jpg,1537,2049,Plastic container,0.0, 369.0,487.0,688.0
batch_1/000056.jpg,1537,2049,Bottle,419.0, 8.0,1132.0,1862.0
batch_1/000058.jpg,1537,2049,Bottle,150.0, 328.0,718.0,1632.0
batch_1/000058.jpg,1537,2049,Bottle,802.0, 405.0,1349.0,1809.0
batch_1/000058.jpg,1537,2049,Bottle cap,971.0, 405.0,1267.0,596.0
batch_1/000060.jpg,1537,2049,Can,750.0, 244.0,1152.0,1711.0
batch_1/000060.jpg,1537,2049,Paper,1205.0, 989.0,1537.0,1591.0
batch_1/000003.jpg,1537,2049,Cup,714.0, 1093.0,948.0,1330.0
batch_1/000011.jpg,1537,2049,Can,522.0, 1168.0,762.0,1290.0
batch_1/000032.jpg,1537,2049,Can,503.0, 808.0,948.0,1165.0
batch_1/000032.jpg,1537,2049,Pop tab,510.0, 953.0,588.0,1014.0
batch_1/000040.jpg,2049,1537,Can,285.0, 402.0,757.0,1026.0
batch_1/000040.jpg,2049,1537,Can,1450.0, 379.0,1964.0,991.0
batch_1/000040.jpg,2049,1537,Pop tab,504.0, 451.0,676.0,547.0
batch_1/000040.jpg,2049,1537,Pop tab,1754.0, 479.0,1938.0,563.0
batch_1/000043.jpg,2049,1537,Can,602.0, 290.0,1467.0,1349.0
batch_1/000043.jpg,2049,1537,Pop tab,923.0, 337.0,1150.0,614.0
batch_1/000049.jpg,1537,2049,Can,399.0, 502.0,882.0,1243.0
batch_1/000049.jpg,1537,2049,Pop tab,451.0, 572.0,609.0,645.0
batch_1/000054.jpg,1537,2049,Can,184.0, 898.0,678.0,1752.0
batch_1/000054.jpg,1537,2049,Bottle,605.0, 259.0,984.0,1455.0
batch_1/000054.jpg,1537,2049,Bottle,1051.0, 202.0,1537.0,1280.0
batch_1/000054.jpg,1537,2049,Bottle cap,1263.0, 202.0,1536.0,504.0
batch_1/000061.jpg,1537,2049,Can,274.0, 723.0,937.0,1569.0
batch_1/000021.jpg,2049,1537,Bottle,852.0, 638.0,1539.0,929.0
batch_1/000021.jpg,2049,1537,Plastic bag & wrapper,256.0, 705.0,934.0,1122.0
batch_1/000022.jpg,2049,1537,Bottle,647.0, 1033.0,1467.0,1409.0
batch_1/000022.jpg,2049,1537,Plastic bag & wrapper,313.0, 1400.0,727.0,1535.0
batch_1/000023.jpg,1537,2049,Bottle,372.0, 1441.0,665.0,1662.0
batch_1/000023.jpg,1537,2049,Can,1015.0, 979.0,1205.0,1193.0
batch_1/000023.jpg,1537,2049,Can,904.0, 1493.0,1072.0,1659.0
batch_1/000023.jpg,1537,2049,Can,683.0, 1550.0,904.0,1653.0
batch_1/000023.jpg,1537,2049,Can,1043.0, 792.0,1187.0,956.0
batch_1/000023.jpg,1537,2049,Pop tab,1162.0, 1166.0,1180.0,1193.0
batch_1/000023.jpg,1537,2049,Bottle cap,371.0, 1437.0,402.0,1486.0
batch_1/000024.jpg,1537,2049,Can,218.0, 1457.0,491.0,1730.0
batch_1/000024.jpg,1537,2049,Can,634.0, 860.0,861.0,1092.0
batch_1/000024.jpg,1537,2049,Bottle,463.0, 1112.0,589.0,1274.0
